Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA
1/2/2014,182.919998,150.100006,54.709999,79.01857,37.16,96.410004,554.481689,397.970001,114.110001,87.269997,102.169998,22,91.029999,40.66,82.099998,99.75,124.139999,49,34.950001,82.019997,78.910004,58.209999,52.27,176.889999,51.831429,3.95,25.790001,21.66,74.57,86.199997,136.669998
1/3/2014,182.889999,149.559998,54.560001,77.28286,36.91,96.540001,550.436829,396.440002,114.690002,86.639999,102.169998,21.98,91.849998,40.459999,82.239998,99.510002,124.349998,48.419998,34.799999,81.889999,78.650002,58.66,53.400002,178.149994,51.871429,4,25.780001,20.969999,75.099998,86.400002,137.619995
1/6/2014,182.360001,147,57.200001,77.704285,36.130001,95.849998,556.573853,393.630005,113.760002,86.32,102.599998,22.01,92.330002,40.27,82.279999,99.660004,124.019997,48.689999,34.959999,81.099998,78.209999,59,53.810001,179.369995,51.367142,4.13,25.459999,20.67,74.239998,86.129997,138.410004
1/7/2014,183.479996,149.360001,57.919998,77.148575,36.41,96.379997,567.303589,398.029999,114.709999,87.120003,102.860001,22.309999,94.290001,40.389999,83.480003,101.07,125.07,49.299999,34.950001,81.5,78.449997,58.32,54.18,178.289993,48.5,4.18,25.59,21.73,76.510002,88.349998,140.509995
1/8/2014,183.520004,151.279999,58.23,77.637146,35.759998,95.410004,568.484192,401.920013,114.860001,87.309998,102.580002,22.290001,94.160004,39.939999,83.239998,100.739998,123.290001,48.5,34.240002,81.93,77.830002,58.869999,54.810001,178.440002,48.712856,4.18,25.43,23.870001,75.620003,87.910004,140.820007
1/9/2014,183.639999,147.529999,57.220001,76.645714,35.529999,95.459999,563.009705,401.01001,114.889999,87.019997,103.18,22.09,94.730003,39.73,82.849998,99.760002,123.290001,47.5,33.540001,81.57,78.089996,58.759998,55.200001,177.399994,48.150002,4.09,25.309999,23.24,76.080002,90.050003,142.130005
1/10/2014,184.139999,145.720001,57.939999,76.134285,36.040001,95.800003,562.979797,397.660004,115.519997,87.300003,104.410004,22.219999,94.739998,40.130001,83.5,100.519997,121.010002,47.75,33.619999,82.010002,78.040001,58.490002,54.720001,178.389999,47.44857,4.17,25.530001,23.709999,74.699997,89.209999,141.899994
1/13/2014,181.690002,139.339996,55.91,76.53286,34.98,94.830002,559.39325,390.980011,113.940002,86.010002,104.93,22.190001,94.5,39.529999,82.370003,98.550003,119.25,47.029999,33.299999,80.970001,77.489998,57.700001,53.720001,175.880005,48.115715,4.13,25.5,23.33,73.940002,88.779999,140.699997
1/14/2014,183.669998,161.270004,57.740002,78.055717,35.779999,95.220001,572.553955,397.540009,115.339996,87.650002,104.449997,22.41,94.720001,39.689999,82.370003,99.120003,119.57,47.080002,33.48,81.010002,77.959999,57.740002,53.950001,176.600006,48.279999,4.3,26.51,23.67,74.019997,89.489998,140.009995
1/15/2014,184.660004,164.130005,57.599998,79.622856,36.759998,95.459999,572.165405,395.869995,116.199997,88.370003,104.339996,22.780001,94.800003,39.759998,82.889999,98.779999,119.18,48.27,33.790001,81.07,77.660004,59.490002,54.990002,178.75,47.197144,4.47,26.67,23.33,74.839996,89.860001,140.619995
