Date,SPY,TSLA,FB,AAPL,MSFT,MCD,GOOG,AMZN,IWM,QQQ,TLT,CSCO,JNJ,KO,PEP,XOM,CVX,VZ,T,HD,WMT,JPM,C,GS,NFLX,AMD,INTC,MU,UNH,CI,BA,HD.1,BAC,SBUX,BABA
1/2/2015,205.43,219.31,78.45,109.33,46.76,93.26,523.37,308.52,118.93,102.94,127.32,27.61,104.52,42.14,94.44,92.83,112.58,46.96,33.87,103.43,85.90,62.49,54.26,194.41,49.85,2.67,36.36,34.75,100.78,102.83,129.95,103.43,17.90,40.72,103.60
1/5/2015,201.72,210.09,77.19,106.25,46.33,92.23,512.46,302.19,117.34,101.43,129.32,27.06,103.79,42.14,93.73,90.29,108.08,46.57,33.55,101.26,85.65,60.55,52.55,188.34,47.31,2.66,35.95,33.78,99.12,101.06,129.05,101.26,17.38,39.94,101.00
1/6/2015,199.82,211.28,76.15,106.26,45.65,92.40,500.59,295.29,115.31,100.07,131.65,27.05,103.28,42.46,93.02,89.81,108.03,47.04,33.60,100.95,86.31,58.98,50.70,184.53,46.50,2.63,35.28,32.87,98.92,101.46,127.53,100.95,16.86,39.62,103.32
1/7/2015,202.31,210.95,76.15,107.75,46.23,94.01,499.73,298.42,116.73,101.36,131.39,27.30,105.56,42.99,95.74,90.72,107.94,46.19,33.17,104.41,88.60,59.07,51.17,187.28,46.74,2.58,36.02,32.10,99.93,103.84,129.51,104.41,16.94,40.59,102.13
1/8/2015,205.90,210.62,78.18,111.89,47.59,94.36,501.30,300.46,118.71,103.30,129.65,27.51,106.39,43.51,97.48,92.23,110.41,47.18,33.50,106.72,90.47,60.39,51.94,190.27,47.78,2.61,36.69,33.67,104.70,109.13,131.80,106.72,17.29,41.24,105.03
1/9/2015,204.25,206.66,77.74,112.01,47.19,93.21,494.81,296.93,117.57,102.62,131.07,27.79,104.94,43.03,96.82,92.10,108.21,46.76,33.40,104.89,89.35,59.34,50.78,187.35,47.04,2.63,36.76,33.53,103.72,108.00,131.54,104.89,16.98,39.90,103.02
1/12/2015,202.65,202.21,76.72,109.25,46.60,93.01,491.20,291.41,117.18,101.55,131.82,28.05,104.58,42.64,96.42,90.33,105.88,47.08,33.49,104.42,90.02,58.83,50.38,185.07,45.55,2.63,36.60,31.66,102.55,106.18,130.87,104.42,16.68,40.12,101.62
1/13/2015,202.08,204.25,76.45,110.22,46.36,92.83,494.82,294.74,117.27,101.52,131.82,28.10,104.76,42.63,96.35,90.00,104.20,47.18,33.49,103.73,89.31,58.84,50.02,184.93,46.26,2.66,36.50,30.84,103.07,106.83,131.17,103.73,16.45,40.44,100.77
1/14/2015,200.86,192.69,76.28,109.80,45.96,91.54,499.50,293.27,116.80,100.96,132.82,27.92,104.00,42.56,96.67,89.74,103.90,46.97,33.33,102.64,86.61,56.81,49.05,180.23,46.32,2.63,36.35,30.05,103.33,107.44,130.38,102.64,16.04,40.21,99.58
1/15/2015,199.02,191.87,74.05,106.82,45.48,91.38,500.42,286.95,114.83,99.65,134.91,27.41,102.49,42.38,96.67,88.96,102.67,47.10,33.26,101.01,87.38,54.99,47.23,178.49,46.25,2.52,36.19,29.30,104.46,106.86,130.14,101.01,15.20,39.79,96.31
1/16/2015,201.63,193.07,75.18,105.99,46.24,91.49,506.69,290.74,116.70,100.82,133.19,27.68,104.04,42.53,97.29,91.12,105.12,47.99,33.80,104.12,86.77,55.93,47.61,177.23,48.19,2.39,36.45,28.99,105.77,107.89,130.78,104.12,15.38,40.31,96.89
1/20/2015,202.06,191.93,76.24,108.72,46.39,90.80,505.51,289.44,116.21,101.62,134.96,28.07,101.29,43.16,97.51,91.09,106.47,48.18,33.95,103.25,86.69,55.71,47.26,175.63,49.83,2.24,36.09,29.67,105.62,108.46,131.22,103.25,15.26,40.61,100.04
1/21/2015,203.08,196.57,76.74,109.55,45.92,90.34,516.62,297.25,115.84,102.14,133.40,27.84,101.90,43.36,97.40,91.87,108.16,48.25,34.00,103.53,86.64,55.89,47.74,177.15,58.47,2.45,36.48,30.49,109.32,110.13,132.41,103.53,15.41,40.65,103.29
1/22/2015,206.10,201.62,77.65,112.40,47.13,90.89,532.93,310.32,118.20,104.03,132.92,28.50,103.76,43.78,98.90,92.87,108.92,47.80,33.79,106.07,88.30,57.59,49.57,182.04,61.21,2.47,36.91,30.89,113.85,112.18,135.64,106.07,16.09,41.37,104.00
1/23/2015,204.97,201.29,77.83,112.98,47.18,89.56,538.47,312.39,118.12,104.26,134.77,28.21,102.20,43.31,98.53,90.89,106.85,47.15,33.37,105.37,88.51,56.68,48.62,180.49,62.49,2.45,36.45,30.95,112.00,109.97,134.62,105.37,15.73,44.11,103.11
1/26/2015,205.45,206.55,77.50,113.10,47.01,90.67,533.74,309.66,119.26,104.14,134.36,27.97,102.26,43.00,98.69,91.76,108.88,46.96,33.18,106.36,88.63,56.77,48.89,180.42,63.79,2.61,35.81,31.02,111.61,109.41,134.07,106.36,15.85,44.06,103.99
